id	result_id	name	dur	record_path	start_time	end_time
1	25347753	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-13-00-08_real_fm_srv6-61min.mp3	2964	2978.9
2	25347595	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-14-00-08_real_fm_srv6-61min.mp3	3145	3159.9
3	25349359	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-15-00-08_real_fm_srv6-61min.mp3	3147	3161.9
4	25352733	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-16-00-08_real_fm_srv6-61min.mp3	2995	3009.9
5	25354171	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-17-00-08_real_fm_srv6-61min.mp3	3040	3054.9
6	25355056	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-18-00-08_real_fm_srv6-61min.mp3	3100	3114.9
7	25357064	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-19-00-08_real_fm_srv6-61min.mp3	3065	3079.9
8	25358454	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-20-00-08_real_fm_srv6-61min.mp3	3108	3122.9
9	25359579	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-21-00-08_real_fm_srv6-61min.mp3	3107	3121.9
10	25360273	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-22-00-08_real_fm_srv6-61min.mp3	3036	3050.9
11	25360770	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-04/2026-08-04-23-00-08_real_fm_srv6-61min.mp3	2988	3002.9
12	25362475	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-08-00-09_real_fm_srv6-61min.mp3	3216	3230.9
13	25365133	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-10-00-08_real_fm_srv6-61min.mp3	3208	3222.9
14	25366350	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-11-00-08_real_fm_srv6-61min.mp3	3061	3075.9
15	25367433	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-12-00-08_real_fm_srv6-61min.mp3	2979	2993.9
16	25384172	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-13-00-08_real_fm_srv6-61min.mp3	3099	3113.9
17	25384891	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-14-00-07_real_fm_srv6-61min.mp3	3026	3040.9
18	25384356	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-15-00-08_real_fm_srv6-61min.mp3	3254	3268.9
19	25385662	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-16-00-08_real_fm_srv6-61min.mp3	3021	3035.9
20	25386954	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-17-00-08_real_fm_srv6-61min.mp3	3001	3015.9
21	25385563	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-18-00-07_real_fm_srv6-61min.mp3	3069	3083.9
22	25386106	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-19-00-08_real_fm_srv6-61min.mp3	3294	3308.9
23	25391515	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-20-00-08_real_fm_srv6-61min.mp3	3016	3030.9
24	25392676	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-21-00-08_real_fm_srv6-61min.mp3	2994	3008.9
25	25393285	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-22-00-08_real_fm_srv6-61min.mp3	2976	2990.9
26	25393750	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-05/2026-08-05-23-00-08_real_fm_srv6-61min.mp3	2980	2994.9
27	25396505	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-06/2026-08-06-08-00-09_real_fm_srv6-61min.mp3	3276	3290.9
28	25398247	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-06/2026-08-06-09-00-08_real_fm_srv6-61min.mp3	3313	3327.9
29	25399702	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-06/2026-08-06-10-00-08_real_fm_srv6-61min.mp3	2981	2995.9
30	25401440	Omid - sezon endirimi	14.9	recorded/Radio/2026-08-06/2026-08-06-11-00-08_real_fm_srv6-61min.mp3	3116	3130.9
