id	result_id	name	dur	record_path	start_time	end_time
1	25238214	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-07-00-08_real_fm_srv6-61min.mp3	3198	3221.1
2	25238541	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-08-00-08_real_fm_srv6-61min.mp3	1297	1320.1
3	25238542	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-08-00-08_real_fm_srv6-61min.mp3	3130	3153.1
4	25264258	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-18-00-08_real_fm_srv6-61min.mp3	1409	1432.1
5	25264259	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-18-00-08_real_fm_srv6-61min.mp3	3166	3189.1
6	25267534	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-19-00-08_real_fm_srv6-61min.mp3	1454	1477.1
7	25267536	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-19-00-08_real_fm_srv6-61min.mp3	3016	3039.1
8	25270865	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-20-00-08_real_fm_srv6-61min.mp3	1523	1546.1
9	25270868	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-01/2026-08-01-20-00-08_real_fm_srv6-61min.mp3	3272	3295.1
10	25284317	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-02/2026-08-02-07-00-08_real_fm_srv6-61min.mp3	3091	3114.1
11	25284620	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-02/2026-08-02-08-00-08_real_fm_srv6-61min.mp3	1316	1339.1
12	25284621	Xalq Bank-Emanet loto yeni-23.WAV	23.1	recorded/Radio/2026-08-02/2026-08-02-08-00-08_real_fm_srv6-61min.mp3	3265	3288.1
