id	result_id	name	dur	record_path	start_time	end_time
1	25527337	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-10/2026-08-10-08-00-08_real_fm_srv6-61min.mp3	1432	1457.2
2	25528961	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-10/2026-08-10-09-00-08_real_fm_srv6-61min.mp3	1478	1503.2
3	25563653	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-10/2026-08-10-17-00-08_real_fm_srv6-61min.mp3	1301	1326.2
4	25573557	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-10/2026-08-10-19-00-08_real_fm_srv6-61min.mp3	1437	1462.2
5	25601261	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-11/2026-08-11-09-00-08_real_fm_srv6-61min.mp3	1335	1360.2
6	25606904	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-11/2026-08-11-13-00-08_real_fm_srv6-61min.mp3	3314	3339.2
7	25614952	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-11/2026-08-11-18-00-08_real_fm_srv6-61min.mp3	3183	3208.2
8	25622526	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-12/2026-08-12-08-00-08_real_fm_srv6-61min.mp3	3156	3181.2
9	25634891	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-12/2026-08-12-13-00-09_real_fm_srv6-61min.mp3	1277	1302.2
10	25651028	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-12/2026-08-12-18-00-08_real_fm_srv6-61min.mp3	1368	1393.2
11	25664139	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-13/2026-08-13-08-00-08_real_fm_srv6-61min.mp3	3277	3302.2
12	26327615	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-13/2026-08-13-12-00-08_real_fm_srv6-61min.mp3	3125	3150.2
13	26327283	Premium res 25 sec tibb SARI	25.2	recorded/Radio/2026-08-13/2026-08-13-17-00-09_real_fm_srv6-61min.mp3	3172	3197.2
