id	result_id	name	dur	record_path	start_time	end_time
1	25238566	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-08-00-08_real_fm_srv6-61min.mp3	1320	1349.7
2	25238567	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-08-00-08_real_fm_srv6-61min.mp3	3197	3226.7
3	25239646	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-09-00-08_real_fm_srv6-61min.mp3	1370	1399.7
4	25239648	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-09-00-08_real_fm_srv6-61min.mp3	3220	3249.7
5	25240669	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-10-00-08_real_fm_srv6-61min.mp3	1428	1457.7
6	25242201	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-11-00-08_real_fm_srv6-61min.mp3	1473	1502.7
7	25243648	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-12-00-08_real_fm_srv6-61min.mp3	1508	1537.7
8	25245190	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-13-00-09_real_fm_srv6-61min.mp3	1436	1465.7
9	25246600	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-14-00-08_real_fm_srv6-61min.mp3	1370	1399.7
10	25250421	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-15-00-08_real_fm_srv6-61min.mp3	1583	1612.7
11	25256022	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-16-00-08_real_fm_srv6-61min.mp3	1449	1478.7
12	25261272	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-17-00-08_real_fm_srv6-61min.mp3	1411	1440.7
13	25264321	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-18-00-08_real_fm_srv6-61min.mp3	3189	3218.7
14	25267568	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-19-00-08_real_fm_srv6-61min.mp3	1423	1452.7
15	25270948	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-20-00-08_real_fm_srv6-61min.mp3	1442	1471.7
16	25270952	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-20-00-08_real_fm_srv6-61min.mp3	3202	3231.7
17	25273688	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-21-00-08_real_fm_srv6-61min.mp3	1471	1500.7
18	25273690	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-21-00-08_real_fm_srv6-61min.mp3	3161	3190.7
19	25275861	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-22-00-09_real_fm_srv6-61min.mp3	1417	1446.7
20	25277794	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-01/2026-08-01-23-00-08_real_fm_srv6-61min.mp3	1489	1518.7
21	25284642	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-08-00-08_real_fm_srv6-61min.mp3	1285	1314.7
22	25284643	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-08-00-08_real_fm_srv6-61min.mp3	3206	3235.7
23	25285610	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-09-00-08_real_fm_srv6-61min.mp3	1386	1415.7
24	25285611	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-09-00-08_real_fm_srv6-61min.mp3	3106	3135.7
25	25286714	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-10-00-08_real_fm_srv6-61min.mp3	1446	1475.7
26	25288182	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-11-00-08_real_fm_srv6-61min.mp3	1426	1455.7
27	25289375	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-12-00-08_real_fm_srv6-61min.mp3	1428	1457.7
28	25290760	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-13-00-09_real_fm_srv6-61min.mp3	1378	1407.7
29	25291925	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-14-00-08_real_fm_srv6-61min.mp3	1447	1476.7
30	25293267	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-15-00-08_real_fm_srv6-61min.mp3	1225	1254.7
31	25294376	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-16-00-08_real_fm_srv6-61min.mp3	1339	1368.7
32	25295558	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-17-00-08_real_fm_srv6-61min.mp3	1446	1475.7
33	25296621	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-18-00-08_real_fm_srv6-61min.mp3	3113	3142.7
34	25298460	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-19-00-09_real_fm_srv6-61min.mp3	1429	1458.7
35	25299791	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-20-00-08_real_fm_srv6-61min.mp3	1495	1524.7
36	25299792	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-20-00-08_real_fm_srv6-61min.mp3	3201	3230.7
37	25300943	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-21-00-08_real_fm_srv6-61min.mp3	1283	1312.7
38	25300944	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-21-00-08_real_fm_srv6-61min.mp3	3165	3194.7
39	25301596	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-22-00-09_real_fm_srv6-61min.mp3	1486	1515.7
40	25302064	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-02/2026-08-02-23-00-08_real_fm_srv6-61min.mp3	1402	1431.7
41	25303733	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-08-00-08_real_fm_srv6-61min.mp3	1498	1527.7
42	25303737	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-08-00-08_real_fm_srv6-61min.mp3	3326	3355.7
43	25307512	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-09-00-08_real_fm_srv6-61min.mp3	1400	1429.7
44	25307515	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-09-00-08_real_fm_srv6-61min.mp3	3304	3333.7
45	25309815	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-10-00-08_real_fm_srv6-61min.mp3	1500	1529.7
46	25311729	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-11-00-08_real_fm_srv6-61min.mp3	1287	1316.7
47	25313490	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-12-00-08_real_fm_srv6-61min.mp3	1380	1409.7
48	25315457	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-13-00-08_real_fm_srv6-61min.mp3	1307	1336.7
49	25317188	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-14-00-08_real_fm_srv6-61min.mp3	1347	1376.7
50	25319135	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-15-00-08_real_fm_srv6-61min.mp3	1352	1381.7
51	25322389	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-16-00-08_real_fm_srv6-61min.mp3	1359	1388.7
52	25325854	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-17-00-08_real_fm_srv6-61min.mp3	1375	1404.7
53	25328994	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-18-00-08_real_fm_srv6-61min.mp3	3105	3134.7
54	25332063	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-19-00-08_real_fm_srv6-61min.mp3	1541	1570.7
55	25333833	Kristal - hissə-hissə al	29.7	recorded/Radio/2026-08-03/2026-08-03-20-00-08_real_fm_srv6-61min.mp3	1351	1380.7
